date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
2016-02-01,955104.5858114751,943257.0495710381,961949.1264190783,989879.9768700335,929502.204528258,959195.1579549437,980104.5524992924
2016-02-02,935751.0078388101,918200.2528744527,935343.3073935164,972050.4590985132,904909.532930421,941955.6284058655,969765.1833888036
2016-02-03,941075.6015670233,924233.7993890162,946067.3260872045,985179.4358885759,912874.0506964161,952633.8465946955,973354.6471938116
2016-02-04,946692.7014967519,932289.6345196354,953984.1274119082,988179.5179008909,921456.7438670577,957294.1885414061,970983.6660536748
2016-02-05,918968.7145120308,909224.4665302974,938662.6837997531,979489.3038263661,899475.2185607285,944954.6294601628,952432.1823552116
2016-02-08,900863.4340101777,891556.4400254708,925125.623760307,970936.9866374052,880953.6573476724,934579.6484089248,951545.452775286
2016-02-09,905425.9947106414,893203.9482552425,928480.8274970241,973385.4530111358,881494.6768019788,933840.8317660863,951812.2721699696
2016-02-10,908044.6983761768,893925.6781642765,927087.7644043432,966732.2623725788,874882.080502756,928030.5804260628,951130.8119217856
2016-02-11,893191.6199330882,877250.241115291,913267.72113666,953030.27061006,857949.72246978,913186.4818991063,946432.6310387596
2016-02-12,908986.1365284099,894034.0110382695,937380.1231115242,973492.4453293089,873479.9552744912,931476.8349035797,946146.640207003
2016-02-16,922680.16593139,908361.677448497,945864.8134467584,987288.0585243639,888229.8208214648,944455.4982843897,947641.0036513312
2016-02-17,942495.9155424829,929021.6069595008,963582.864369384,999675.6815596032,906333.496498177,959466.3345275657,951070.5563393576
2016-02-18,941033.5706956591,922571.2619499832,954476.0681791824,996932.683425554,905032.4548334025,957110.4809346696,950903.5066517816
2016-02-19,939766.36521393,922758.5669290767,953707.5875167253,997310.0512013517,903503.9796604667,955860.2897386717,951262.103299807
2016-02-22,953689.2848180922,935405.9502518001,963315.0796731028,1002685.1330077403,912933.2622429021,969194.63746904,956079.3456824286
2016-02-23,943460.9119027572,924910.9999869686,947151.533916049,991767.1356152167,901414.4281759495,958180.4951722937,952766.9077157005
2016-02-24,942857.1309748705,925502.9629041234,949725.2694290652,994571.2758822782,901363.0449643484,961283.3656235802,952999.0114649757
2016-02-25,960207.9577470148,939618.4877804932,966729.685134074,1004867.7911626116,915925.0244083293,973663.0715934621,961018.814652918
2016-02-26,957843.2691969818,940188.4466582724,964486.8541771957,1000505.8335933257,916711.428659505,970320.6865129345,957727.501436518
2016-02-29,947465.8290660529,930500.607597706,954190.2893490561,991836.8738997808,910181.8323696345,963120.7833665913,949286.6038862556
2016-03-01,972161.9699904383,954233.5071784862,981506.1282005927,1015972.7109608905,934332.4577483295,983447.409341207,970235.2466627448
2016-03-02,973013.8021244003,953292.0134658971,985232.8511617018,1019167.2446475198,934114.2186182743,985444.0479361821,969950.2964292854
2016-03-03,972210.4762723785,955534.7377008048,988709.9669071294,1023733.1571749022,936526.0009787577,988043.6301579783,971427.5502973885
2016-03-04,974384.4106236992,959137.8171008457,992271.0014028121,1026576.272853618,940039.6137400839,991709.6959690357,972060.4713636726
2016-03-07,973805.5001903644,963498.2889689953,992822.7765342338,1026801.8088341397,943507.8731190737,995627.121165132,974928.8690229744
2016-03-08,968477.1342275755,956703.863996862,987032.2824380536,1022353.9664737638,935439.8650464343,989221.5000084846,972634.2212339728
2016-03-09,971823.2369728576,958210.0889418349,993829.5766516271,1024984.5463072829,934995.031450645,991335.902810134,971970.0238462776
2016-03-10,971750.9929206801,959031.9688571313,993768.4316049446,1022358.5771723635,934865.4167417513,991031.0142402436,971159.2000089972
2016-03-11,988472.2425188477,974294.5075391982,1004979.9466851177,1032703.1457839155,948939.4038074429,1003753.6486688259,984956.809841761
2016-03-14,990637.8263276595,977237.5390304063,1002361.113327559,1031851.8893452578,953270.1735195359,1004676.1729184008,988688.899548182
2016-03-15,991977.5060133698,975450.3554619754,1001655.77414428,1033726.7229394827,950496.2539143487,1005982.2850287867,988504.9413954108
2016-03-16,998292.8465344358,981651.1036502398,1004602.2485841552,1037458.8918982097,954155.0265076349,1010310.8599212985,993510.273716578
2016-03-17,1004313.6153476518,990904.4128214562,1014400.4936033555,1046826.9584908214,962383.4522663065,1019391.9152935955,1003460.8509718268
2016-03-18,1013457.435492037,1001457.2173237728,1025576.9514481821,1055131.1885264975,972651.0963021917,1026436.6976957509,1010992.9313551276
2016-03-21,1014751.048907313,1004056.3853316557,1023295.6417970818,1055319.6662301663,973752.3786702208,1027694.4057560049,1014787.2425123544
2016-03-22,1015977.5785349197,1004437.9409872231,1020170.944382051,1052969.2267728029,972413.9342585055,1025286.1618970836,1013363.0896116584
2016-03-23,1013090.9347729686,994890.1380836315,1014288.1953937092,1048132.915071724,965842.6587426212,1020622.2893020104,1005639.299610743
2016-03-24,1013813.3085662773,995771.0249975018,1013940.917302959,1048403.0176512178,966272.3173667996,1021388.553888571,1006436.653011927
2016-03-28,1013033.052905713,995031.8086343394,1016112.3910658272,1050617.926816452,965881.1795723764,1022534.9895794622,1006274.4773908944
2016-03-29,1021011.0361176379,1000609.8489627969,1019023.3709934906,1053878.316754843,971412.9450056192,1028233.2282528861,1012327.856716761
2016-03-30,1028287.106024917,1004455.5916273936,1027314.0979370534,1060025.38726367,974888.0238242623,1033105.2952094686,1015074.3793073982
