,Iter,Val Start,Val End,Model Used,A2C Sharpe,PPO Sharpe,DDPG Sharpe,SAC Sharpe,TD3 Sharpe
0,126,2015-10-02,2016-01-04,DDPG,-0.025930051640933816,-0.06760900875755575,0.014846707666397523,,
1,189,2016-01-04,2016-04-05,PPO,0.11519009752187194,0.1380981944020991,0.09517358474204991,,
2,252,2016-04-05,2016-07-05,DDPG,0.028717364968018515,0.020953018220235944,0.051228186543761975,,
3,315,2016-07-05,2016-10-03,DDPG,-0.06507490045711381,-0.10197438885754266,0.05462884144492327,,
4,378,2016-10-03,2017-01-03,A2C,0.48417507519970276,0.3575275507921335,0.34539523557462254,,
5,441,2017-01-03,2017-04-04,A2C,0.340212582285936,0.1614672607719011,0.14569378316575138,,
6,504,2017-04-04,2017-07-05,DDPG,0.21971379407560016,-0.028579064754622654,0.2908422996761022,,
7,567,2017-07-05,2017-10-03,A2C,0.44108964624206176,0.2450715390920134,0.3097006258198785,,
8,630,2017-10-03,2018-01-03,DDPG,0.5528078799071567,0.3274863308192155,0.6677849670456267,,
9,693,2018-01-03,2018-04-05,DDPG,-0.172186093682649,-0.12529936310645104,-0.07651132534210639,,
10,756,2018-04-05,2018-07-05,A2C,0.37561078415251636,0.009413384691246378,0.15351992220389704,,
11,819,2018-07-05,2018-10-03,DDPG,0.18337637722204456,0.45443999788093076,0.5389945497790135,,
12,882,2018-10-03,2019-01-04,DDPG,-0.14050100232664364,-0.22501665830361348,-0.09111737327943539,,
13,945,2019-01-04,2019-04-05,DDPG,0.22732393359127734,0.2407450397392536,0.29712241614764734,,
14,1008,2019-04-05,2019-07-08,A2C,0.25835457118893723,0.11195156714450474,0.24958210654238153,,
15,1071,2019-07-08,2019-10-04,A2C,-0.13943855006531186,-0.249752284091672,-0.19871159331076207,,
16,1134,2019-10-04,2020-01-06,DDPG,0.09379069050365094,0.36072972098329736,0.8493121201806686,,
17,1197,2020-01-06,2020-04-06,PPO,-0.41825115899942467,-0.30581297468226637,-0.4702298707497214,,
18,1260,2020-04-06,2020-07-07,PPO,0.20207643340763295,0.26075373188833617,0.2326249740729328,,
