,date,a2c,ddpg,td3,ppo,sac,ensemble,dji
23,2016-02-05,913967.5901615653,941362.8459624684,923985.9308648263,938841.5488891712,953912.9519737773,985965.572912071,944954.6294601628
24,2016-02-08,896304.2911621294,928895.6719710001,901112.3289131892,919002.2867005276,947589.0752666661,985647.4955985046,934579.6484089248
25,2016-02-09,899907.2655005662,929024.5414228227,905539.4701231134,916261.724685753,944336.8668137507,985729.556559602,933840.8317660862
26,2016-02-10,897655.1761169014,924971.9023543717,906325.456970963,909194.1897402582,937593.3224015982,985325.9880664096,928030.5804260628
27,2016-02-11,878561.1181282307,907501.6452459631,884145.6109833794,881239.1633315973,916710.3685828876,983525.5470814626,913186.481899106
28,2016-02-12,888905.273308257,924505.9884883232,902347.4319442993,900117.105624976,931746.7773983356,983389.5165276792,931476.8349035796
29,2016-02-16,907240.7638351242,941056.9848201036,918930.8620293804,915719.405434229,947016.6843865842,984189.0729190976,944455.4982843896
30,2016-02-17,928997.8452714559,957582.779150319,936540.1139967947,930025.9037813226,966720.1512526785,985191.175965059,959466.3345275656
31,2016-02-18,931722.8374464163,955010.7163509894,929991.9404035296,930451.4187401835,977478.883365268,984691.154964094,957110.4809346696
32,2016-02-19,930130.8331787158,954947.0698859489,927642.3683769142,926942.6118225332,977123.8375971842,984691.6723074052,955860.2897386716
33,2016-02-22,948602.5147655192,964424.3560390794,942496.8907778679,936771.5376986652,986100.5569705132,985415.0081343016,969194.63746904
34,2016-02-23,942416.063303316,955757.6829526572,931073.3772844097,925490.7803590818,977389.8480174307,982564.6184835064,958180.495172294
35,2016-02-24,938647.287095399,956319.1215133285,928485.6200754566,925939.633360452,976110.77235108,982889.1001650402,961283.3656235804
36,2016-02-25,952549.5915444151,965674.9018264911,945488.2375016825,938832.080951667,986490.2854817751,985515.6035509732,973663.0715934624
37,2016-02-26,952341.8191563771,963558.9161277269,947750.5687035667,938844.0905462503,979639.849487516,985141.6383552185,970320.6865129346
38,2016-02-29,944863.7511282229,954952.1183811757,940405.9647888168,935583.2305587882,971009.503419854,983045.4950980906,963120.7833665916
39,2016-03-01,965410.7009248951,977845.5941724916,964930.0874869834,957559.0692461877,995334.4094939395,990991.2380900471,983447.4093412072
40,2016-03-02,964501.1413799075,978828.1864439105,965849.1756018971,959056.0848247207,999689.0228808011,990850.383912332,985444.0479361822
41,2016-03-03,968716.6810463599,982675.8887141582,969894.0831443387,961798.7392585742,1004472.4879328582,991839.8676436784,988043.6301579784
42,2016-03-04,970814.2197699785,985701.6285086382,974219.2461548517,967150.1078753818,1007570.5652070004,993269.2714402082,991709.695969036
43,2016-03-07,974461.6841445954,989904.4451771735,974424.7374918201,968700.9078531251,1011798.6684171716,993185.2335273988,995627.1211651322
44,2016-03-08,969395.7105746256,984154.1679744769,967089.9720683271,960888.9079073155,1007149.527851424,989629.0822716578,989221.5000084848
45,2016-03-09,971927.4631698822,983897.2157922119,969437.9099521954,961990.6030143052,1014045.7251118678,989370.5761273172,991335.9028101342
46,2016-03-10,973198.9106226251,985163.1234784394,970190.1085431789,963754.585830924,1013825.4522657433,990152.6191468412,991031.0142402436
47,2016-03-11,988805.5162528602,999118.3259463703,985484.1313726333,977377.976467288,1026363.6463211338,997695.6886406576,1003753.648668826
48,2016-03-14,992957.4795088164,1001422.1829818432,987575.7744885558,980356.4525348768,1027417.0465903269,997442.3829465332,1004676.1729184008
49,2016-03-15,991670.2877617718,1000793.3307089538,986140.5211538606,978525.1702980995,1029041.8011035853,996737.9469002571,1005982.2850287867
50,2016-03-16,996053.8322472572,1005092.9454898499,990440.5359052802,980073.4647308233,1035436.8358269925,997845.1144839424,1010310.8599212985
51,2016-03-17,1002818.5121832053,1014735.4896557778,998670.2242660477,992792.2471058792,1047375.3853910124,1002649.1650138188,1019391.9152935956
52,2016-03-18,1015749.561636934,1024226.2583867183,1012663.1457050281,1007940.2074596173,1056988.146583413,1008052.0745509282,1026436.6976957507
53,2016-03-21,1017732.7521344374,1026927.8725791405,1013446.9687337156,1009661.6000963512,1062022.0051224541,1007483.7582341064,1027694.4057560049
54,2016-03-22,1017355.9528204945,1026138.4919776011,1011771.1470530153,1003825.7652975667,1060569.4005073826,1006568.5561672688,1025286.1618970834
55,2016-03-23,1017317.16749851,1018869.1732642978,1009508.7515560983,998265.3531976112,1055324.901845665,1004254.8238134214,1020622.2893020104
56,2016-03-24,1015128.4027580614,1019100.060672608,1007192.4605436784,997158.5049184405,1056471.9548464932,1003576.2332463496,1021388.5538885708
57,2016-03-28,1015124.0704292523,1020027.9948245519,1006845.1504273879,998064.5876522165,1056930.784536951,1004615.0951670991,1022534.9895794622
58,2016-03-29,1020546.0269843176,1024964.9915078061,1013009.3648689089,1003184.9174392351,1062331.9613739818,1007306.983535948,1028233.228252886
59,2016-03-30,1019919.5707856808,1027742.8251003154,1017771.472107904,1004135.7739938739,1060170.2855104452,1011725.658776404,1033105.295209468
60,2016-03-31,1017282.148731609,1027894.3758031578,1015041.0490384394,1004699.6914949464,1060471.4697748164,1010741.86173824,1031264.3468180944
61,2016-04-01,1023223.854353702,1036419.649868584,1024195.1094725692,1014730.4191650688,1068017.9629648621,1017910.6939150871,1037542.2951742756
62,2016-04-04,1019458.2454619203,1032350.1548598384,1020168.8570562393,1009628.2222672598,1064446.5093675128,1015627.0938503252,1034291.3652755264
63,2016-04-05,1010134.7645779209,1024457.9334510661,1010661.8297767045,1001980.0675416242,1056357.348890005,1009259.708750914,1026496.1492585012
64,2016-04-06,1016777.9800111691,1033870.8941449373,1016448.968955145,1005499.5867777581,1063354.4331786744,1012717.3719209048,1033069.7609420771
65,2016-04-07,1007943.1269854957,1023015.2464199085,1003355.9722987463,991687.8952043582,1053726.7108723554,1004243.7497672028,1022918.1218727424
66,2016-04-08,1008083.1815902882,1023564.9445391117,1003727.593817376,993672.5768205263,1057098.3693501283,1005003.8080319372,1024959.0644100736
67,2016-04-11,1008985.7511780711,1022115.8673427018,1005065.9625401843,995887.6680033406,1056065.677329634,1005596.0460034224,1023760.6940206876
68,2016-04-12,1016321.071857283,1032081.3401899185,1013830.0248457111,1004256.0944353824,1063266.5668350973,1011255.8820727372,1033372.9411337276
69,2016-04-13,1028464.5495040221,1042747.4237947798,1029639.3077305439,1019131.6147450375,1073022.0333164246,1021664.3901356416,1044279.1139257086
70,2016-04-14,1028635.3880093462,1043696.2653164972,1032334.1461345523,1020976.5354321864,1072992.330888865,1023235.1201821046,1045337.511191301
71,2016-04-15,1027262.034053771,1042519.0618846283,1028869.491566204,1018171.8160134743,1073796.3806076501,1019642.7969997546,1043648.266787635
72,2016-04-18,1036652.620819194,1050293.6018224848,1035836.1896400327,1024814.413109318,1080492.4064887352,1026819.15786077,1049870.180337546
