date,ensemble,dji
2016-08-30,1045790.907373698,1076119.0703187846
2016-08-31,1043300.544771464,1073004.0134360532
2016-09-01,1041247.703493388,1074078.1277814533
2016-09-02,1045258.2614348248,1078315.1336003034
2016-09-06,1048156.3696120096,1081006.7404632918
2016-09-07,1048317.2941954448,1080308.241546916
2016-09-08,1048091.6474860028,1077612.4206842692
2016-09-09,1027985.524736674,1054610.3604940039
2016-09-12,1040858.2868521526,1068583.3000104667
2016-09-13,1026510.2902815654,1053519.9596093828
2016-09-14,1023631.3775961712,1051655.0939226495
2016-09-15,1031869.441797526,1062017.8885424426
2016-09-16,1029450.8450720622,1056846.7415019856
2016-09-19,1029450.3540060832,1056635.0164921142
2016-09-20,1031034.7564375713,1057205.9564999065
2016-09-21,1041526.9499953104,1066753.9685911245
2016-09-22,1048307.892629893,1072513.0255298906
2016-09-23,1036934.1957762552,1064873.3858245835
2016-09-26,1025852.0435812784,1055157.3832064369
2016-09-27,1032578.3510496928,1062940.4127920175
2016-09-28,1033470.700594218,1069409.585619191
2016-09-29,1019778.7815077616,1057992.4938415813
2016-09-30,1028642.3337424112,1067596.654630952
2016-10-03,1024864.0545714214,1064430.2325091395
2016-10-04,1023026.2037251346,1059450.3099396748
2016-10-05,1027537.862926192,1066015.151948286
2016-10-06,1028019.2658245992,1065284.535520999
2016-10-07,1027960.815752242,1063651.2120317207
2016-10-10,1033675.030234206,1068814.728316039
2016-10-11,1019992.229501765,1057130.1045060526
2016-10-12,1021711.891739556,1058036.228324524
2016-10-13,1018204.2928452004,1055397.011727561
2016-10-14,1021474.93319995,1057696.9444060693
2016-10-17,1017333.2518844898,1054665.825840861
2016-10-18,1022746.9312935168,1059070.7082947572
2016-10-19,1027852.2655124958,1061442.848426874
2016-10-20,1036452.1315422351,1059094.6255901165
2016-10-21,1035415.6881746242,1058124.3806417056
2016-10-24,1036029.777515788,1062633.0186007086
2016-10-25,1035120.1461860609,1059498.1445303934
2016-10-26,1037639.9371610592,1061251.0544964685
2016-10-27,1036870.4573697994,1059522.061825753
2016-10-28,1030476.8787960004,1059026.9738118143
2016-10-31,1028152.6650457332,1057932.4728194175
2016-11-01,1023597.798442454,1051790.9669386672
2016-11-02,1016838.5647899578,1047274.1287641125
2016-11-03,1012395.234373202,1045584.7704685637
2016-11-04,1010635.7684705056,1043112.8610472336
