date,a2c,ddpg,td3,ppo,sac
2016-02-25,963168.0104365521,991234.8592666113,967615.2555349233,926984.8462130551,999239.7516100082
2016-02-26,962957.9219336682,989062.8666194403,969930.5314920308,926996.7042571225,992300.7801248702
2016-02-29,955396.4931445294,980228.2599242651,962414.0437009694,923776.9934533162,983558.8948900375
2016-03-01,976172.4873099499,1003727.6914733374,987512.0981347921,945475.5163940663,1008198.1776697311
2016-03-02,975252.7885718518,1004736.2914794409,988452.6954324605,946953.6409532933,1012609.0703699264
2016-03-03,979515.3204016858,1008685.8366225683,992592.2649057271,949661.6855015835,1017454.3572427902
2016-03-04,981636.2411570721,1011791.6631835424,997018.6485937001,954945.5245553708,1020592.4742738876
2016-03-07,985324.3651518994,1016105.7220672094,997228.9489915731,956476.7548020176,1024875.2217714462
2016-03-08,980201.9193206006,1010203.2437041723,989722.529939449,948763.3354213738,1020165.9954034957
2016-03-09,982761.8942885571,1009939.4903853857,992125.4160097005,949851.1281055474,1027151.3195764694
2016-03-10,984047.515031355,1011238.9047378027,992895.2181108358,951592.8510112328,1026928.1999094161
2016-03-11,999828.093205946,1025563.4803565466,1008547.1630227925,965044.3264456353,1039628.438419548
2016-03-14,1004026.3399157696,1027928.3170112097,1010687.7563245656,967985.2167661538,1040695.4529039535
2016-03-15,1002724.7993712598,1027282.8199676,1009218.9141252401,966177.0436997723,1042341.2058527145
2016-03-16,1007157.2088313275,1031696.2390635931,1013619.5610158803,967705.8000191731,1048818.8904306565
2016-03-17,1013997.2971301251,1041594.0068229162,1022041.8466565969,980264.0825525174,1060911.734604088
2016-03-18,1027072.4937243634,1051335.9818805181,1036362.2408368947,995220.8889760021,1070648.7317621384
2016-03-21,1029077.7915721112,1054109.1037238562,1037164.4074743154,996920.5591523957,1075747.648224083
2016-03-22,1028696.7919383221,1053298.8294089758,1035449.3669698598,991158.3674535431,1074276.2700502549
2016-03-23,1028657.5742621594,1045837.1027987921,1033134.0252130391,985668.1228614182,1068963.9911386643
2016-03-24,1026444.4105601483,1046074.1014483892,1030763.5266378286,984575.2420335622,1070125.8687288438
2016-03-28,1026440.0299372845,1047026.5966170751,1030408.0885122182,985469.8908005432,1070590.628364769
2016-03-29,1031922.427026289,1052094.268152567,1036716.5624788167,990525.6065312714,1076061.610370842
2016-03-30,1031288.9874911481,1054945.6268084967,1041590.1160886647,991464.4641128945,1073871.996864525
2016-03-31,1028622.1651282483,1055101.1888297522,1038795.7936303975,992021.2654713215,1074177.0736543809
2016-04-01,1034630.1051173382,1063852.1140349829,1048164.0841863515,1001925.4141847615,1081821.098224846
2016-04-04,1030822.519605177,1059674.9056342565,1044043.6064203145,996887.6025221371,1078203.4869234238
2016-04-05,1021395.1064677411,1051573.78903422,1034314.0886266591,989335.9607791638,1070009.7815973435
2016-04-06,1028112.3762545758,1061235.896593424,1040236.6627347829,992811.06677953,1077097.2966692124
2016-04-07,1019179.037889021,1050092.9162543737,1026837.254045284,979173.6666002221,1067345.1450388108
2016-04-08,1019320.6537337475,1050657.1640532934,1027217.5725267293,981133.3032808099,1070760.3790552292
2016-04-11,1020233.2845950299,1049169.7319701635,1028587.2627485158,983320.4419620613,1069714.3404543076
2016-04-12,1027650.374778288,1059398.975845667,1037556.4281499746,991583.2662163072,1077008.294735161
2016-04-13,1039929.2202143841,1070347.3745883428,1053735.6916158558,1006271.0705493321,1086889.8415147935
2016-04-14,1040101.9631190472,1071321.3305133306,1056493.5966298939,1008092.7099608426,1086859.7552110825
2016-04-15,1038713.2998843365,1070112.9682830297,1052947.8596418262,1005323.3836331887,1087674.196521965
2016-04-18,1048208.5669570141,1078093.2885611975,1060077.5975587727,1011882.1569988198,1094456.762287346
2016-04-19,1054098.7716651135,1081347.2639850103,1069396.1620004536,1014270.6472967534,1086963.360332695
2016-04-20,1064133.0477881604,1083938.1888793432,1077205.210256374,1019800.9317371201,1090735.0350877915
2016-04-21,1063817.4575629407,1080803.9359096014,1070148.4333474995,1015780.6573167824,1089806.2674448167
2016-04-22,1065187.6984057599,1082827.6209319555,1071018.478469646,1018612.1806362424,1088894.146473137
2016-04-25,1063956.4648890668,1081643.1789382421,1067146.9537771107,1017166.0546568646,1086770.2771532212
2016-04-26,1069455.9640307599,1083575.2117331945,1073232.0627897144,1021616.2361449742,1090690.434540001
2016-04-27,1073008.1441798382,1088264.5161593878,1079093.7319829823,1031060.0416289105,1096465.2151300584
2016-04-28,1062251.7405905896,1076412.0116828405,1068519.2617013813,1018017.3225669541,1083360.3429224167
2016-04-29,1057949.8850875073,1072784.3523944342,1064905.828264034,1014944.2121007352,1080179.4837877427
2016-05-02,1062337.625730055,1079593.6262763464,1072427.434865749,1020208.9865718884,1082745.0167238389
2016-05-03,1055679.0332541638,1071280.8298495733,1061607.1577432514,1010362.2327355656,1077296.8936845933
2016-05-04,1050288.17323448,1064838.5093787634,1052408.279977596,1002257.4342613072,1072152.1727373276
2016-05-05,1055583.5435939007,1065905.5569728338,1052367.6790578724,1005996.6483146176,1080014.2218172227
2016-05-06,1060018.753772276,1070350.4668773138,1056165.5680158497,1009868.291352364,1086041.2123605881
2016-05-09,1060534.7472376996,1068563.8735068762,1052367.5355947376,1007053.5725841107,1085574.2771112595
2016-05-10,1073436.6260142499,1082097.63230929,1067385.1122320057,1023469.8872609182,1099965.7855150376
2016-05-11,1057678.4505208875,1067283.612427088,1055217.4676740528,1011683.85800771,1090236.8359949265
2016-05-12,1057030.1612981702,1067150.6617663824,1054811.489066875,1011716.1273704667,1091728.4447633896
2016-05-13,1048227.736949339,1056309.1008208715,1044339.38211993,999568.2613102956,1081586.6624834214
2016-05-16,1058751.2396062757,1065642.7146285498,1054111.5199582935,1006943.8698422399,1094010.4680864487
2016-05-17,1048390.4727643873,1054323.6694415533,1045179.6868856313,997734.2157390313,1083954.2355768357
2016-05-18,1048812.6106218244,1053600.228449198,1050736.2769105793,1002252.5747762875,1080582.6455232773
2016-05-19,1040794.9017747785,1044524.793745371,1041084.2974870565,985282.1893372617,1070265.5566332017
2016-05-20,1047400.2205785657,1046975.5608046972,1042815.3241422536,986667.5147125744,1077887.9781152878
2016-05-23,1044774.5919774915,1045863.4062980139,1042607.759658611,986832.669396092,1075230.725101677
2016-05-24,1056792.5380987073,1058366.5899814093,1056638.580940044,996170.8580770363,1087015.7027399216
2016-05-25,1064386.7406629468,1068164.141094538,1065401.8719594837,1008498.9732571988,1097612.117000786
2016-05-26,1063753.6246770765,1067093.3086875402,1062816.24517802,1006075.4791572919,1097550.2453157578
2016-05-27,1068179.5034803296,1070027.7029746496,1066936.4194524647,1009239.7329152456,1100895.166507927
2016-05-31,1061122.8775648023,1065374.3756259405,1062402.8860280872,1002957.7048882642,1095635.8590814744
2016-06-01,1062625.5387281324,1065296.629934641,1064042.4364431263,1003720.2154921289,1096089.6226274644
2016-06-02,1070616.5910919476,1069127.6183818304,1069351.8528001667,1006866.0550366349,1102848.4142839585
2016-06-03,1071606.9872692395,1067201.1352389776,1067231.7745168568,1002262.9307862725,1104408.9821054612
2016-06-06,1083897.5830105115,1074649.0109218084,1078282.9825551868,1014503.8490275712,1114038.5261156235
2016-06-07,1081246.4483211804,1073597.482487055,1076662.4328344227,1010908.664619246,1114119.6359407578
2016-06-08,1092788.6473034192,1077968.985090586,1085622.350269115,1013965.5906880994,1122549.0141336594
2016-06-09,1092981.456656294,1076685.9026587927,1084366.587806499,1012049.968244389,1124867.4633409653
2016-06-10,1083032.5118778516,1068136.715948435,1073686.7546995045,1000678.4158568234,1116810.122444359
